,id,vervoerwijze,reismotief,regio,jaar,verplaatsingPerDag,afstandPerDag,reisduurPerDag,afstandPerVerplaatsing,reisduurPerVerplaatsing,verplaatsingenPerJaar,afstandPerJaar,reisduurPerJaar
1936,1936,Auto (bestuurder),Van en naar werkadres,Nederland,2010,    0.25,    5.82,    7.41,   23.06,   29.36,      88,    2024,    42.9
1937,1937,Auto (bestuurder),Van en naar werkadres,Nederland,2011,    0.25,    6.06,    7.28,   23.94,   28.78,      88,    2107,    42.2
1938,1938,Auto (bestuurder),Van en naar werkadres,Nederland,2012,    0.25,    5.88,    7.17,   23.15,   28.25,      89,    2050,    41.7
1939,1939,Auto (bestuurder),Van en naar werkadres,Nederland,2013,    0.25,    6.00,    7.27,   24.01,   29.07,      87,    2089,    42.2
1940,1940,Auto (bestuurder),Van en naar werkadres,Nederland,2014,    0.25,    6.22,    7.42,   24.64,   29.42,      88,    2164,    43.1
1941,1941,Auto (bestuurder),Van en naar werkadres,Nederland,2015,    0.25,    6.18,    7.33,   25.02,   29.65,      86,    2155,    42.6
1942,1942,Auto (bestuurder),Van en naar werkadres,Nederland,2016,    0.25,    6.24,    7.52,   25.30,   30.50,      86,    2178,    43.8
1943,1943,Auto (bestuurder),Van en naar werkadres,Nederland,2017,    0.25,    5.97,    7.30,   23.91,   29.24,      87,    2070,    42.2
1944,1944,Auto (bestuurder),Van en naar werkadres,Noord-Nederland (LD),2010,    0.25,    6.05,    6.80,   24.48,   27.52,      86,    2103,    39.4
1945,1945,Auto (bestuurder),Van en naar werkadres,Noord-Nederland (LD),2011,    0.26,    6.66,    7.03,   25.37,   26.76,      91,    2318,    40.7
1946,1946,Auto (bestuurder),Van en naar werkadres,Noord-Nederland (LD),2012,    0.27,    6.83,    7.31,   25.75,   27.55,      93,    2384,    42.5
1947,1947,Auto (bestuurder),Van en naar werkadres,Noord-Nederland (LD),2013,    0.25,    6.43,    6.88,   25.86,   27.70,      86,    2235,    39.9
1948,1948,Auto (bestuurder),Van en naar werkadres,Noord-Nederland (LD),2014,    0.24,    6.52,    6.68,   27.55,   28.24,      82,    2267,    38.7
1949,1949,Auto (bestuurder),Van en naar werkadres,Noord-Nederland (LD),2015,    0.25,    6.67,    7.31,   26.71,   29.28,      87,    2323,    42.4
1950,1950,Auto (bestuurder),Van en naar werkadres,Noord-Nederland (LD),2016,    0.26,    7.29,    7.47,   28.11,   28.82,      91,    2545,    43.5
1951,1951,Auto (bestuurder),Van en naar werkadres,Noord-Nederland (LD),2017,    0.26,    6.46,    7.65,   25.00,   29.61,      90,    2238,    44.2
1952,1952,Auto (bestuurder),Van en naar werkadres,Oost-Nederland (LD),2010,    0.27,    6.60,    7.71,   24.76,   28.94,      93,    2293,    44.7
1953,1953,Auto (bestuurder),Van en naar werkadres,Oost-Nederland (LD),2011,    0.27,    7.07,    8.09,   25.78,   29.52,      95,    2457,    46.9
1954,1954,Auto (bestuurder),Van en naar werkadres,Oost-Nederland (LD),2012,    0.26,    6.17,    7.09,   24.03,   27.61,      90,    2152,    41.2
1955,1955,Auto (bestuurder),Van en naar werkadres,Oost-Nederland (LD),2013,    0.26,    6.67,    7.44,   25.36,   28.29,      92,    2321,    43.2
1956,1956,Auto (bestuurder),Van en naar werkadres,Oost-Nederland (LD),2014,    0.25,    6.36,    7.32,   24.99,   28.77,      89,    2212,    42.5
1957,1957,Auto (bestuurder),Van en naar werkadres,Oost-Nederland (LD),2015,    0.25,    6.89,    7.55,   27.17,   29.78,      88,    2401,    43.9
1958,1958,Auto (bestuurder),Van en naar werkadres,Oost-Nederland (LD),2016,    0.26,    7.01,    8.11,   26.85,   31.05,      91,    2450,    47.2
1959,1959,Auto (bestuurder),Van en naar werkadres,Oost-Nederland (LD),2017,    0.26,    6.37,    7.25,   24.80,   28.24,      89,    2208,    41.9
1960,1960,Auto (bestuurder),Van en naar werkadres,West-Nederland (LD),2010,    0.23,    5.29,    7.23,   22.70,   30.99,      81,    1840,    41.9
1961,1961,Auto (bestuurder),Van en naar werkadres,West-Nederland (LD),2011,    0.23,    5.37,    6.92,   23.61,   30.41,      79,    1868,    40.1
1962,1962,Auto (bestuurder),Van en naar werkadres,West-Nederland (LD),2012,    0.23,    5.53,    7.15,   23.53,   30.46,      82,    1929,    41.6
1963,1963,Auto (bestuurder),Van en naar werkadres,West-Nederland (LD),2013,    0.23,    5.46,    7.04,   24.16,   31.15,      79,    1899,    40.8
1964,1964,Auto (bestuurder),Van en naar werkadres,West-Nederland (LD),2014,    0.24,    5.94,    7.45,   25.22,   31.62,      82,    2068,    43.2
1965,1965,Auto (bestuurder),Van en naar werkadres,West-Nederland (LD),2015,    0.23,    5.68,    7.16,   24.93,   31.44,      79,    1978,    41.6
1966,1966,Auto (bestuurder),Van en naar werkadres,West-Nederland (LD),2016,    0.22,    5.58,    7.21,   25.15,   32.49,      77,    1949,    42.0
